--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
./text_prediction_non-doc/maggi-f-cropped/maggi-29.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-30.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-31.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-32.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-33.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-34.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-35.png	a                        	0.2105
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
./text_prediction_non-doc/maggi-f-cropped/maggi-1.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-2.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-3.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-4.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-5.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-6.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-7.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-8.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-9.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-10.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-11.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-12.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-13.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-14.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-15.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-16.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-17.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-18.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-19.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-20.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-21.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-22.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-23.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-24.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-25.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-26.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-27.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-28.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-29.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-30.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-31.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-32.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-33.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-34.png	a                        	0.2105
./text_prediction_non-doc/maggi-f-cropped/maggi-35.png	a                        	0.2105
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
./maggi-f-cropped/maggi-1.png	export                   	1.0000
./maggi-f-cropped/maggi-2.png	maggi                    	0.9996
./maggi-f-cropped/maggi-3.png	pack                     	1.0000
./maggi-f-cropped/maggi-4.png	nonute                   	0.2733
./maggi-f-cropped/maggi-5.png	neo                      	0.9834
./maggi-f-cropped/maggi-6.png	authentic                	0.9997
./maggi-f-cropped/maggi-7.png	indian                   	0.9999
./maggi-f-cropped/maggi-8.png	noodlest                 	0.3628
./maggi-f-cropped/maggi-9.png	masalas                  	0.2834
./maggi-f-cropped/maggi-10.png	simply                   	1.0000
./maggi-f-cropped/maggi-11.png	insidential              	0.0387
./maggi-f-cropped/maggi-12.png	mixpacket                	0.9998
./maggi-f-cropped/maggi-13.png	madey                    	0.1850
./maggi-f-cropped/maggi-14.png	within                   	0.7359
./maggi-f-cropped/maggi-15.png	good                     	1.0000
./maggi-f-cropped/maggi-16.png	quality                  	0.9995
./maggi-f-cropped/maggi-17.png	spices                   	0.9998
./maggi-f-cropped/maggi-18.png	per                      	0.9943
./maggi-f-cropped/maggi-19.png	spiceliz                 	0.1414
./maggi-f-cropped/maggi-20.png	x                        	0.4254
./maggi-f-cropped/maggi-21.png	package                  	0.9999
./maggi-f-cropped/maggi-22.png	servingsuggestion        	0.5842
./maggi-f-cropped/maggi-23.png	310                      	0.9896
./maggi-f-cropped/maggi-24.png	calories                 	0.9965
./maggi-f-cropped/maggi-25.png	satfat                   	0.9710
./maggi-f-cropped/maggi-26.png	25000                    	0.0703
./maggi-f-cropped/maggi-27.png	9700111111111111111111111	0.0000
./maggi-f-cropped/maggi-28.png	sodiuman                 	0.2816
./maggi-f-cropped/maggi-29.png	sugars                   	0.9999
./maggi-f-cropped/maggi-30.png	total                    	0.9999
./maggi-f-cropped/maggi-31.png	net                      	0.9984
./maggi-f-cropped/maggi-32.png	wthering                 	0.0034
./maggi-f-cropped/maggi-33.png	2464                     	0.2729
./maggi-f-cropped/maggi-34.png	i                        	0.5403
./maggi-f-cropped/maggi-35.png	170ghisters              	0.0001
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
./maggi-f-cropped/maggi-1.png	export                   	1.0000
./maggi-f-cropped/maggi-2.png	maggi                    	0.9996
./maggi-f-cropped/maggi-3.png	pack                     	1.0000
